scenario	country	severity	daly_averted	yld_averted	yll_averted	incr_cost	icer	inb_oc	inb_lo	inb_hi	p_ce_oc	p_benefit
SMR-NOMORT: no direct mortality benefit	Ecuador	mixed	0.37626201067711945	0.2744707272597763	0.10179128341734316	1567.1699518228015	4165.102793669043	-344.3184171221634	-1136.2536254768881	548.6225761755796	0.214	1
SMR-NOMORT: no direct mortality benefit	UK	severe	0.18904650566266662	0.17337023216168623	0.01567627350098039	1284.005969658225	6792.011125291028	3347.6334190771076	1426.0347774084123	5272.620146837901	1	1
SMR-NOMORT: no direct mortality benefit	UK	less_severe	0.0456242845656511	0.02994801106467071	0.01567627350098039	1284.005969658225	28143.037899270585	-166.21099779977288	-771.170273413232	561.9497684621385	0.317	1
SMR-NOMORT: no direct mortality benefit	UK	mixed	0.06527312885594225	0.04959685535496185	0.01567627350098039	1284.005969658225	19671.2796239939	315.18568731235985	-326.27614818774896	1047.512283075379	0.807	1
ECU-UMIC: Ecuador upper-middle cost	Nigeria	severe	2.845787797476249	0.9677332386425245	1.8780545588337247	2781.033723755944	977.2456422162849	64.75407372030537	-1488.6865614465505	1619.8591378207143	0.538	1
ECU-UMIC: Ecuador upper-middle cost	Nigeria	less_severe	1.8802118047136043	0.002157245879879696	1.8780545588337247	2781.033723755944	1479.106618086335	-900.8219190423395	-2503.2184619656414	537.5570010253042	0.135	0.997
ECU-UMIC: Ecuador upper-middle cost	Nigeria	mixed	2.012495715722087	0.13444115688836203	1.8780545588337247	2781.033723755944	1381.8830529823533	-768.5380080338571	-2358.5275211058483	679.1451443378677	0.18	0.999
ECU-UMIC: Ecuador upper-middle cost	Ecuador	severe	1.845241202276407	1.2189589018527935	0.6262823004236137	9113.41873659942	4938.876676586522	-3116.3848292010966	-6299.668312537081	503.82884943796597	0.043	1
ECU-UMIC: Ecuador upper-middle cost	Ecuador	less_severe	0.7223478893456764	0.09606558892206281	0.6262823004236137	9113.41873659942	12616.384530249847	-6765.7880962259715	-9425.587595320143	-3929.343590820808	0	1
ECU-UMIC: Ecuador upper-middle cost	Ecuador	mixed	0.8761842732171866	0.24990197279357293	0.6262823004236137	9113.41873659942	10401.25806314308	-6265.819848643563	-8845.181384947622	-3461.568786845916	0	1
ECU-UMIC: Ecuador upper-middle cost	UK	severe	0.22078378156573059	0.17203250062611816	0.04875128093961243	1300.681584877715	5891.200774140572	4108.521063482685	2033.6296565487219	6277.479883701752	1	1
ECU-UMIC: Ecuador upper-middle cost	UK	less_severe	0.07736156046871505	0.02861027952910262	0.04875128093961243	1300.681584877715	16813.021570366458	594.6766466058035	-460.89532681477016	1685.7401339754877	0.843	1
ECU-UMIC: Ecuador upper-middle cost	UK	mixed	0.09701040475900617	0.04825912381939376	0.04875128093961243	1300.681584877715	13407.650324816972	1076.0733317179363	49.343750685844554	2185.515700385834	0.977	1
YLL-LT: life-table survival YLL	Nigeria	severe	2.726060718862105	0.9677332386425245	1.7583274802195803	2781.033723755944	1020.1657301737525	-54.97300489383907	-1513.4500155802805	1416.1733982967799	0.482	1
YLL-LT: life-table survival YLL	Nigeria	less_severe	1.7604847260994598	0.002157245879879696	1.7583274802195803	2781.033723755944	1579.697728998546	-1020.5489976564838	-2542.1071565461184	343.6210555635359	0.077	0.997
YLL-LT: life-table survival YLL	Nigeria	mixed	1.8927686371079422	0.13444115688836203	1.7583274802195803	2781.033723755944	1469.2940643845552	-888.2650866480016	-2384.0719880933784	489.1083208953719	0.121	0.999
YLL-LT: life-table survival YLL	Ecuador	severe	1.8238329445567378	1.2189589018527935	0.6048740427039444	1608.7305448975308	882.0602510217923	4318.726524911867	1719.1380112029008	6834.510354817392	1	1
YLL-LT: life-table survival YLL	Ecuador	less_severe	0.7009396316260073	0.09606558892206281	0.6048740427039444	1608.7305448975308	2295.105701422064	669.3232578869928	-1102.100950258487	2415.936033068297	0.762	1
YLL-LT: life-table survival YLL	Ecuador	mixed	0.8547760154975174	0.24990197279357293	0.6048740427039444	1608.7305448975308	1882.0492336359937	1169.2915054694006	-548.80326538389	2947.930693990667	0.888	1
YLL-LT: life-table survival YLL	UK	severe	0.21938614811395646	0.17203250062611816	0.04735364748783829	1300.681584877715	5928.731581549523	4074.2790439142186	1993.020057743396	6222.492682732102	1	1
YLL-LT: life-table survival YLL	UK	less_severe	0.07596392701694092	0.02861027952910262	0.04735364748783829	1300.681584877715	17122.358413456514	560.4346270373375	-468.2556677604105	1635.6572500593554	0.836	1
YLL-LT: life-table survival YLL	UK	mixed	0.09561277130723206	0.04825912381939376	0.04735364748783829	1300.681584877715	13603.638583994612	1041.8313121494703	36.900924794241156	2131.081371744076	0.976	1
CONSERVATIVE: DW-RETAIN + SMR-SF1 + SMR-NOMORT	Nigeria	severe	0.5058239001255102	0.22024960038803054	0.28557429973747966	2488.6751537794803	4920.042633734714	-1982.8512536539702	-2761.6839180617244	-1139.3265376066056	0	0.997
CONSERVATIVE: DW-RETAIN + SMR-SF1 + SMR-NOMORT	Nigeria	less_severe	0.38074701716888526	0.09517271743140562	0.28557429973747966	2488.6751537794803	6536.295864599239	-2107.928136610595	-2838.1590078695203	-1342.1308584503472	0	0.997
CONSERVATIVE: DW-RETAIN + SMR-SF1 + SMR-NOMORT	Nigeria	mixed	0.3978825501339429	0.11230825039646322	0.28557429973747966	2488.6751537794803	6254.79843974483	-2090.7926036455374	-2828.504134487389	-1326.3935244340776	0	0.997
CONSERVATIVE: DW-RETAIN + SMR-SF1 + SMR-NOMORT	Ecuador	severe	0.3774397046133217	0.276181270399698	0.10125843421362371	1567.1162268772587	4151.96442696121	-340.43718688396314	-1457.3295088014543	920.697533694862	0.304	0.997
CONSERVATIVE: DW-RETAIN + SMR-SF1 + SMR-NOMORT	Ecuador	less_severe	0.22189627472209783	0.12063784050847409	0.10125843421362371	1567.1162268772587	7062.381866662295	-845.9533340304408	-1579.924639519172	100.40445925002983	0.03	0.997
CONSERVATIVE: DW-RETAIN + SMR-SF1 + SMR-NOMORT	Ecuador	mixed	0.24320572461719547	0.14194729040357176	0.10125843421362371	1567.1162268772587	6443.582811810418	-776.6976218713734	-1559.266511111088	186.2353912829146	0.042	0.997
CONSERVATIVE: DW-RETAIN + SMR-SF1 + SMR-NOMORT	UK	severe	0.08388177476900319	0.06828972906794813	0.015592045701055044	1283.9675079885767	15306.871027996429	771.1359738520015	-212.0835267224801	1893.7501083945197	0.934	1
CONSERVATIVE: DW-RETAIN + SMR-SF1 + SMR-NOMORT	UK	less_severe	0.045540595429797444	0.029948549728742398	0.015592045701055044	1283.9675079885767	28193.91129762151	-168.2229199585391	-777.5249522335656	554.9491314645808	0.313	1
CONSERVATIVE: DW-RETAIN + SMR-SF1 + SMR-NOMORT	UK	mixed	0.050793336999268635	0.03520129129821359	0.015592045701055044	1283.9675079885767	25278.266478279707	-39.53075150649509	-667.967266152987	712.7784542385327	0.445	1
