country	setting	severity	gap	daly_mean	daly_lo	daly_hi	cost_mean	cost_lo	cost_hi	yld_mean	yll_mean
Nigeria	LMIC	less_severe	0.4	5.625077422805656	4.51562143462311	6.637764879575638	3273.7592802941685	2591.590596573984	3975.5633014134573	1.6068292832890092	4.018248139516648
Nigeria	LMIC	less_severe	0.5	5.93844605692459	4.6167326029417675	7.109830036503252	2810.2536596681784	2209.626804440285	3445.018173940727	1.6071888242689891	4.331257232655601
Nigeria	LMIC	less_severe	0.6000000000000001	6.251814691043525	4.699577662407197	7.561685726419461	2346.7480390421874	1813.7281670523623	2928.7132839750157	1.607548365248969	4.644266325794556
Nigeria	LMIC	less_severe	0.7	6.565183325162459	4.783519999350239	8.07271976461712	1883.2424184161973	1397.0456837277995	2437.0673723720724	1.6079079062289492	4.957275418933509
Nigeria	LMIC	less_severe	0.8	6.878551959281393	4.864421817373014	8.594288033262167	1419.7367977902063	1001.447453651015	1967.7765787517444	1.6082674472089291	5.270284512072464
Nigeria	LMIC	severe	0.2	5.3201988188220035	4.563833064806014	6.054488747534673	4200.77052154615	3360.0512707687417	5039.478107361121	1.9279688655832643	3.3922299532387394
Nigeria	LMIC	severe	0.30000000000000004	5.794496785068045	4.910984530832414	6.602571220640469	3737.264900920159	2965.25668492521	4508.63889872384	2.0892577386903515	3.7052390463776934
Nigeria	LMIC	severe	0.4	6.268794751314086	5.182267417113979	7.208131058694603	3273.7592802941685	2591.590596573984	3975.5633014134573	2.250546611797439	4.018248139516648
Nigeria	LMIC	severe	0.5	6.743092717560128	5.458849467341446	7.843888887196979	2810.2536596681784	2209.626804440285	3445.018173940727	2.4118354849045263	4.331257232655601
Nigeria	LMIC	severe	0.6000000000000001	7.21739068380617	5.730205616916945	8.498639223308578	2346.7480390421874	1813.7281670523623	2928.7132839750157	2.573124358011614	4.644266325794556
Nigeria	LMIC	severe	0.7	7.69168865005221	5.978229812688911	9.146234277681767	1883.2424184161973	1397.0456837277995	2437.0673723720724	2.734413231118701	4.957275418933509
Nigeria	LMIC	severe	0.8	8.165986616298254	6.2076421441572736	9.821501721451094	1419.7367977902063	1001.447453651015	1967.7765787517444	2.895702104225789	5.270284512072464
UK	HIC	less_severe	0.025	1.9651183363623623	1.5600819204741625	2.3861937875531334	18980.71444563236	15138.713759406717	22696.08681986711	1.5400295775814727	0.42508875878088975
UK	HIC	less_severe	0.05	1.9909055231852673	1.5879152493008797	2.408685411387035	18547.153917339787	14794.575976672595	22172.279295978864	1.5495663374245068	0.44133918576076053
UK	HIC	less_severe	0.07500000000000001	2.0166927100081726	1.6104294662653458	2.4321885543570554	18113.593389047215	14450.438193938477	21657.2018410099	1.559103097267541	0.4575896127406314
UK	HIC	less_severe	0.1	2.0424798968310776	1.6410672408165663	2.462277386141414	17680.032860754643	14121.117660798267	21144.891734768957	1.5686398571105753	0.4738400397205022
UK	HIC	severe	0.025	2.012925743394701	1.6179061409340605	2.422333641736662	18980.71444563236	15138.713759406717	22696.08681986711	1.5878369846138112	0.42508875878088975
UK	HIC	severe	0.05	2.0865203372499446	1.7001286740811365	2.4862998417724964	18547.153917339787	14794.575976672595	22172.279295978864	1.6451811514891839	0.44133918576076053
UK	HIC	severe	0.07500000000000001	2.160114931105188	1.7704375856163523	2.5571209748093398	18113.593389047215	14450.438193938477	21657.2018410099	1.7025253183645568	0.4575896127406314
