country	setting	severity	gap	iter	daly_averted	incr_cost
Ecuador	LMIC	less_severe	0.2	7	1.1791080534705474	1762.1883561662044
Ecuador	LMIC	less_severe	0.30000000000000004	7	0.9825900445587905	1468.4902968051701
Ecuador	LMIC	less_severe	0.4	7	0.7860720356470323	1174.792237444136
Ecuador	LMIC	less_severe	0.5	7	0.5895540267352746	881.0941780831021
Ecuador	LMIC	less_severe	0.6000000000000001	7	0.3930360178235164	587.3961187220679
Ecuador	LMIC	less_severe	0.7	7	0.19651800891175863	293.6980593610341
Ecuador	LMIC	less_severe	0.8	7	0	0
Ecuador	LMIC	less_severe	0.2	8	0.9219442170727405	1194.7403687182837
Ecuador	LMIC	less_severe	0.30000000000000004	8	0.7682868475606166	995.6169739319024
Ecuador	LMIC	less_severe	0.4	8	0.6146294780484935	796.4935791455222
Ecuador	LMIC	less_severe	0.5	8	0.46097210853637005	597.370184359142
Ecuador	LMIC	less_severe	0.6000000000000001	8	0.30731473902424655	398.24678957276103
Ecuador	LMIC	less_severe	0.7	8	0.1536573695121235	199.1233947863809
Ecuador	LMIC	less_severe	0.8	8	0	0
Ecuador	LMIC	less_severe	0.2	9	0.9948628237463595	1375.3775936502034
Ecuador	LMIC	less_severe	0.30000000000000004	9	0.8290523531219662	1146.1479947085027
Ecuador	LMIC	less_severe	0.4	9	0.663241882497573	916.9183957668021
Ecuador	LMIC	less_severe	0.5	9	0.49743141187317974	687.6887968251018
Ecuador	LMIC	less_severe	0.6000000000000001	9	0.3316209412487856	458.4591978834011
Ecuador	LMIC	less_severe	0.7	9	0.1658104706243928	229.22959894170071
Ecuador	LMIC	less_severe	0.8	9	0	0
Ecuador	LMIC	less_severe	0.2	10	0.6947026532059195	1327.717931003163
Ecuador	LMIC	less_severe	0.30000000000000004	10	0.5789188776716001	1106.4316091693017
Ecuador	LMIC	less_severe	0.4	10	0.4631351021372794	885.1452873354416
Ecuador	LMIC	less_severe	0.5	10	0.34735132660296	663.8589655015811
Ecuador	LMIC	less_severe	0.6000000000000001	10	0.23156755106864013	442.57264366772085
Ecuador	LMIC	less_severe	0.7	10	0.11578377553431984	221.28632183386037
Ecuador	LMIC	less_severe	0.8	10	0	0
Ecuador	LMIC	less_severe	0.2	11	0.5304590501738264	1179.8489719525992
Ecuador	LMIC	less_severe	0.30000000000000004	11	0.4420492084781893	983.2074766271656
Ecuador	LMIC	less_severe	0.4	11	0.3536393667825508	786.5659813017327
Ecuador	LMIC	less_severe	0.5	11	0.2652295250869132	589.9244859762993
Ecuador	LMIC	less_severe	0.6000000000000001	11	0.17681968339127518	393.2829906508663
Ecuador	LMIC	less_severe	0.7	11	0.08840984169563715	196.6414953254333
Ecuador	LMIC	less_severe	0.8	11	0	0
Ecuador	LMIC	less_severe	0.2	12	0.34321975244532776	1667.4136106630758
Ecuador	LMIC	less_severe	0.30000000000000004	12	0.2860164603711062	1389.5113422192294
Ecuador	LMIC	less_severe	0.4	12	0.22881316829688547	1111.6090737753834
Ecuador	LMIC	less_severe	0.5	12	0.17160987622266433	833.7068053315382
