smr_U	country	daly_averted	da_lo	da_hi	incr_cost	ic_lo	ic_hi	icer	icer_lo	icer_hi	p_da_pos	inb_oc	inb_lo	inb_hi	p_ce_oc	p_ce_1x	p_ce_3x	severity
4	Nigeria	0.9489723455551049	0.555502294136654	1.3160720094441716	2760.8034965734064	2145.006815221658	3359.964268859031	2909.2560067790637	1926.1212860202638	5064.591781428845	1	-1811.8311510183014	-2483.676914943196	-1095.4616179738575	0	0.043	0.994	less_severe
4	Nigeria	1.0900892805897953	0.6902305303585733	1.4594538319469912	2760.8034965734064	2145.006815221658	3359.964268859031	2532.639799081106	1714.2616854224439	4070.236227474093	1	-1670.714215983611	-2381.5684593401265	-942.5248372503339	0	0.113	0.998	mixed
4	Ecuador	1.5285751925597104	0.8348707484473047	2.142411638001659	1605.7015857445622	1244.285009443467	1943.6657295572566	1050.4563946610294	678.158329236013	1911.4527671809137	1	3362.167790074497	1110.0270616936443	5394.257337552449	0.999	1	1	severe
4	Ecuador	0.38785373856013156	0.21450643428103083	0.5688083115498991	1605.7015857445622	1244.285009443467	1943.6657295572566	4139.966760938208	2567.149014656167	7713.540880497187	1	-345.17693542413446	-1021.9393885815657	362.6023903819316	0.162	0.926	1	less_severe
4	Ecuador	0.5441325777580739	0.34620905801172613	0.7401719568117932	1605.7015857445622	1244.285009443467	1943.6657295572566	2950.938156212494	1985.421499453511	4860.9730397262165	1	162.72929196917815	-595.532789737677	883.3813809491078	0.671	0.997	1	mixed
4	UK	0.1970979999630354	0.11783444795527413	0.2743567759579978	1299.331940906629	1005.9617216669662	1583.6609389641235	6592.314184569662	4307.354601262738	11503.134943465495	1	3529.569058187739	1589.088033153983	5436.438911737368	1	1	1	severe
4	UK	0.05246352079866515	0.03319196207902324	0.07388909616756786	1299.331940906629	1005.9617216669662	1583.6609389641235	24766.388552018194	16161.598575386963	40043.87847103791	1	-13.975681339332585	-561.4593619181064	573.3510854357711	0.481	0.997	1	less_severe
4	UK	0.07227844444418388	0.05195903675834535	0.09413869249845072	1299.331940906629	1005.9617216669662	1583.6609389641235	17976.75573815125	12618.98999138668	27040.956201973837	1	471.48994797587625	-139.2783635783945	1055.5991026950685	0.934	1	1	mixed
4.5	Nigeria	2.206214609206931	1.4854330312517696	2.8673168736281056	2765.9295071013266	2150.277150904179	3364.3979982887477	1253.6992074835352	870.0761003234649	1914.0468587821074	1	-559.7148978943958	-1486.5467200444152	355.06858909138873	0.113	0.981	1	severe
4.5	Nigeria	1.1924665267139463	0.7960847005043946	1.560055773625159	2765.9295071013266	2150.277150904179	3364.3979982887477	2319.502849881529	1598.026699087004	3557.706709203792	1	-1573.4629803873804	-2252.7643601787927	-848.8284825547497	0	0.217	1	less_severe
