country	setting	severity	gap	da_lo	da_hi	ic_lo	ic_hi	icer	inb_oc	inb_oc_lo	inb_oc_hi	inb_1x	inb_1x_lo	inb_1x_hi	daly_averted	incr_cost	gdp_pc	thr_1x	thr_3x	thr_oc	verdict	verdict_oc
Ecuador	LMIC	severe	0.5	0.5293747937553597	1.311290534806106	624.1515665646368	972.9667919721626	871.8266982727775	2194.151681250397	880.9361016959498	3463.885886673831	5192.668634949559	2611.7052595813752	7718.838878411581	0.9226206011382038	804.3652724487654	6500	6500	19500	3250	highly cost-effective (<1x GDP)	cost-effective (<opportunity-cost threshold)
Ecuador	LMIC	severe	0.6000000000000001	0.35291652917024063	0.874193689870737	416.10104437642474	648.6445279814415	871.8266982727774	1462.767787500264	587.2907344639664	2309.2572577825485	3461.779089966371	1741.1368397209117	5145.892585607709	0.6150804007588023	536.2435149658434	6500	6500	19500	3250	highly cost-effective (<1x GDP)	cost-effective (<opportunity-cost threshold)
Ecuador	LMIC	severe	0.7	0.1764582645851208	0.43709684493536893	208.05052218821237	324.32226399072096	871.8266982727774	731.3838937501328	293.6453672319836	1154.628628891277	1730.8895449831875	870.5684198604639	2572.946292803861	0.3075402003794015	268.12175748292196	6500	6500	19500	3250	highly cost-effective (<1x GDP)	cost-effective (<opportunity-cost threshold)
Ecuador	LMIC	severe	0.8	0	0	0	0	NA	0	0	0	0	0	0	0	0	6500	6500	19500	3250	n/a (base case)	n/a (base case)
Nigeria	LMIC	less_severe	0.2	0.3217132700736095	3.2305040735636017	2164.1035191972333	3380.590636211811	1479.106618086335	-900.8219190423395	-2503.2184619656414	537.5570010253042	979.3898856712649	-2232.4331225712162	3625.8958185585025	1.8802118047136043	2781.033723755944	2000	2000	6000	1000	highly cost-effective (<1x GDP)	above opportunity-cost threshold
Nigeria	LMIC	less_severe	0.30000000000000004	0.26809439172800803	2.6920867279696683	1803.419599331027	2817.1588635098424	1479.1066180863347	-750.6849325352823	-2086.015384971368	447.9641675210867	816.1582380593882	-1860.360935476014	3021.579848798753	1.5668431705946704	2317.528103129953	2000	2000	6000	1000	highly cost-effective (<1x GDP)	above opportunity-cost threshold
Nigeria	LMIC	less_severe	0.4	0.2144755133824066	2.1536693823757336	1442.7356794648224	2253.7270908078735	1479.1066180863345	-600.5479460282259	-1668.812307977094	358.37133401686873	652.9265904475105	-1488.2887483808104	2417.2638790390033	1.2534745364757365	1854.0224825039622	2000	2000	6000	1000	highly cost-effective (<1x GDP)	above opportunity-cost threshold
Nigeria	LMIC	less_severe	0.5	0.16085663503680517	1.6152520367818006	1082.0517595986164	1690.2953181059054	1479.1066180863343	-450.4109595211695	-1251.6092309828196	268.778500512653	489.6949428356329	-1116.2165612856077	1812.947909279251	0.9401059023568026	1390.516861877972	2000	2000	6000	1000	highly cost-effective (<1x GDP)	above opportunity-cost threshold
Nigeria	LMIC	less_severe	0.6000000000000001	0.10723775669120375	1.0768346911878672	721.3678397324111	1126.8635454039363	1479.1066180863345	-300.2739730141128	-834.4061539885464	179.18566700843596	326.46329522375527	-744.144374190404	1208.6319395194998	0.626737268237868	927.0112412519809	2000	2000	6000	1000	highly cost-effective (<1x GDP)	above opportunity-cost threshold
Nigeria	LMIC	less_severe	0.7	0.053618878345602305	0.5384173455939344	360.683919866206	563.4317727019688	1479.106618086335	-150.1369865070566	-417.20307699427497	89.59283350421778	163.2316476118778	-372.0721870952018	604.3159697597523	0.31336863411893434	463.505620625991	2000	2000	6000	1000	highly cost-effective (<1x GDP)	above opportunity-cost threshold
Nigeria	LMIC	less_severe	0.8	0	0	0	0	NA	0	0	0	0	0	0	0	0	2000	2000	6000	1000	n/a (base case)	n/a (base case)
Nigeria	LMIC	severe	0.2	1.3385905738898618	4.234748221723569	2164.1035191972333	3380.590636211811	977.2456422162849	64.75407372030537	-1488.6865614465505	1619.8591378207143	2910.5418711965544	-117.22307255174854	5744.276751559125	2.845787797476249	2781.033723755944	2000	2000	6000	1000	highly cost-effective (<1x GDP)	cost-effective (<opportunity-cost threshold)
