country	setting	severity	gap	cycle	state	prob	year	scenario
Nigeria	LMIC	severe	0.8	1	Remission	0.05409660399065259	2	status_quo
Nigeria	LMIC	severe	0.8	1	Death	0.0761241885016596	2	status_quo
Nigeria	LMIC	severe	0.8	2	Untreated	0.5713258190877964	4	status_quo
Nigeria	LMIC	severe	0.8	2	Treated	0.13729455429426493	4	status_quo
Nigeria	LMIC	severe	0.8	2	Controlled	0.04819642043198699	4	status_quo
Nigeria	LMIC	severe	0.8	2	Remission	0.09877270492172575	4	status_quo
Nigeria	LMIC	severe	0.8	2	Death	0.14441050126422594	4	status_quo
Nigeria	LMIC	severe	0.8	3	Untreated	0.4801724194254242	6	status_quo
Nigeria	LMIC	severe	0.8	3	Treated	0.11358599912776776	6	status_quo
Nigeria	LMIC	severe	0.8	3	Controlled	0.06545357428105063	6	status_quo
Nigeria	LMIC	severe	0.8	3	Remission	0.1353298305131145	6	status_quo
Nigeria	LMIC	severe	0.8	3	Death	0.20545817665264288	6	status_quo
Nigeria	LMIC	severe	0.8	4	Untreated	0.4013298653655655	8	status_quo
Nigeria	LMIC	severe	0.8	4	Treated	0.09379423714052512	8	status_quo
Nigeria	LMIC	severe	0.8	4	Controlled	0.07912856348473797	8	status_quo
Nigeria	LMIC	severe	0.8	4	Remission	0.16481248087015007	8	status_quo
Nigeria	LMIC	severe	0.8	4	Death	0.26093485313902137	8	status_quo
Nigeria	LMIC	severe	0.8	5	Untreated	0.33363165662359984	10	status_quo
Nigeria	LMIC	severe	0.8	5	Treated	0.07730423608840797	10	status_quo
Nigeria	LMIC	severe	0.8	5	Controlled	0.08981050550922956	10	status_quo
Nigeria	LMIC	severe	0.8	5	Remission	0.18818874980229094	10	status_quo
Nigeria	LMIC	severe	0.8	5	Death	0.3110648519764717	10	status_quo
UK	HIC	less_severe	0.025	0	Untreated	0.025	0	bridged
UK	HIC	less_severe	0.025	0	Treated	0.975	0	bridged
UK	HIC	less_severe	0.025	0	Controlled	0	0	bridged
UK	HIC	less_severe	0.025	0	Remission	0	0	bridged
UK	HIC	less_severe	0.025	0	Death	0	0	bridged
UK	HIC	less_severe	0.025	1	Untreated	0.022934929363886056	2	bridged
UK	HIC	less_severe	0.025	1	Treated	0.7700099808170913	2	bridged
UK	HIC	less_severe	0.025	1	Controlled	0.20109249618625585	2	bridged
UK	HIC	less_severe	0.025	1	Remission	0.0018321133777694093	2	bridged
UK	HIC	less_severe	0.025	1	Death	0.0041304802549974335	2	bridged
UK	HIC	less_severe	0.025	2	Untreated	0.02100990807140537	4	bridged
UK	HIC	less_severe	0.025	2	Treated	0.6083253356236521	4	bridged
UK	HIC	less_severe	0.025	2	Controlled	0.35879330536526793	4	bridged
UK	HIC	less_severe	0.025	2	Remission	0.0035022006773615644	4	bridged
UK	HIC	less_severe	0.025	2	Death	0.008369250262313046	4	bridged
UK	HIC	less_severe	0.025	3	Untreated	0.019218609302469807	6	bridged
UK	HIC	less_severe	0.025	3	Treated	0.48075051973358746	6	bridged
UK	HIC	less_severe	0.025	3	Controlled	0.4823372939408224	6	bridged
UK	HIC	less_severe	0.025	3	Remission	0.005021163747389848	6	bridged
UK	HIC	less_severe	0.025	3	Death	0.012672413275730402	6	bridged
UK	HIC	less_severe	0.025	4	Untreated	0.017544073024780203	8	bridged
UK	HIC	less_severe	0.025	4	Treated	0.37995440331975	8	bridged
UK	HIC	less_severe	0.025	4	Controlled	0.5789013532268844	8	bridged
UK	HIC	less_severe	0.025	4	Remission	0.006398081836046111	8	bridged
UK	HIC	less_severe	0.025	4	Death	0.017202088592539223	8	bridged
UK	HIC	less_severe	0.025	5	Untreated	0.015982800517708565	10	bridged
UK	HIC	less_severe	0.025	5	Treated	0.3003081086736753	10	bridged
UK	HIC	less_severe	0.025	5	Controlled	0.6541500404968628	10	bridged
UK	HIC	less_severe	0.025	5	Remission	0.007641989656181278	10	bridged
UK	HIC	less_severe	0.025	5	Death	0.02191706065557206	10	bridged
UK	HIC	less_severe	0.1	0	Untreated	0.1	0	status_quo
UK	HIC	less_severe	0.1	0	Treated	0.9	0	status_quo
UK	HIC	less_severe	0.1	0	Controlled	0	0	status_quo
UK	HIC	less_severe	0.1	0	Remission	0	0	status_quo
UK	HIC	less_severe	0.1	0	Death	0	0	status_quo
UK	HIC	less_severe	0.1	1	Untreated	0.09173971745554423	2	status_quo
UK	HIC	less_severe	0.1	1	Treated	0.7107784438311612	2	status_quo
UK	HIC	less_severe	0.1	1	Controlled	0.18562384263346696	2	status_quo
UK	HIC	less_severe	0.1	1	Remission	0.007328453511077637	2	status_quo
UK	HIC	less_severe	0.1	1	Death	0.004529542568750044	2	status_quo
UK	HIC	less_severe	0.1	2	Untreated	0.08403963228562147	4	status_quo
UK	HIC	less_severe	0.1	2	Treated	0.5615310790372173	4	status_quo
UK	HIC	less_severe	0.1	2	Controlled	0.33119382033717043	4	status_quo
UK	HIC	less_severe	0.1	2	Remission	0.014008802709446258	4	status_quo
UK	HIC	less_severe	0.1	2	Death	0.009226665630544563	4	status_quo
UK	HIC	less_severe	0.1	3	Untreated	0.07687443720987923	6	status_quo
UK	HIC	less_severe	0.1	3	Treated	0.44376971052331154	6	status_quo
UK	HIC	less_severe	0.1	3	Controlled	0.4452344251761438	6	status_quo
UK	HIC	less_severe	0.1	3	Remission	0.020084654989559393	6	status_quo
UK	HIC	less_severe	0.1	3	Death	0.014036772101106057	6	status_quo
UK	HIC	less_severe	0.1	4	Untreated	0.07017629209912081	8	status_quo
UK	HIC	less_severe	0.1	4	Treated	0.3507271415259231	8	status_quo
UK	HIC	less_severe	0.1	4	Controlled	0.5343704799017395	8	status_quo
UK	HIC	less_severe	0.1	4	Remission	0.025592327344184443	8	status_quo
UK	HIC	less_severe	0.1	4	Death	0.01913375912903217	8	status_quo
UK	HIC	less_severe	0.1	5	Untreated	0.06393120207083426	10	status_quo
UK	HIC	less_severe	0.1	5	Treated	0.27720748492954644	10	status_quo
UK	HIC	less_severe	0.1	5	Controlled	0.6038308066124888	10	status_quo
UK	HIC	less_severe	0.1	5	Remission	0.03056795862472511	10	status_quo
UK	HIC	less_severe	0.1	5	Death	0.02446254776240547	10	status_quo
UK	HIC	severe	0.025	0	Untreated	0.025	0	bridged
UK	HIC	severe	0.025	0	Treated	0.975	0	bridged
UK	HIC	severe	0.025	0	Controlled	0	0	bridged
UK	HIC	severe	0.025	0	Remission	0	0	bridged
UK	HIC	severe	0.025	0	Death	0	0	bridged
UK	HIC	severe	0.025	1	Untreated	0.022934929363886056	2	bridged
UK	HIC	severe	0.025	1	Treated	0.7700099808170913	2	bridged
UK	HIC	severe	0.025	1	Controlled	0.20109249618625585	2	bridged
UK	HIC	severe	0.025	1	Remission	0.0018321133777694093	2	bridged
UK	HIC	severe	0.025	1	Death	0.0041304802549974335	2	bridged
UK	HIC	severe	0.025	2	Untreated	0.02100990807140537	4	bridged
UK	HIC	severe	0.025	2	Treated	0.6083253356236521	4	bridged
UK	HIC	severe	0.025	2	Controlled	0.35879330536526793	4	bridged
UK	HIC	severe	0.025	2	Remission	0.0035022006773615644	4	bridged
UK	HIC	severe	0.025	2	Death	0.008369250262313046	4	bridged
UK	HIC	severe	0.025	3	Untreated	0.019218609302469807	6	bridged
UK	HIC	severe	0.025	3	Treated	0.48075051973358746	6	bridged
UK	HIC	severe	0.025	3	Controlled	0.4823372939408224	6	bridged
UK	HIC	severe	0.025	3	Remission	0.005021163747389848	6	bridged
UK	HIC	severe	0.025	3	Death	0.012672413275730402	6	bridged
UK	HIC	severe	0.025	4	Untreated	0.017544073024780203	8	bridged
UK	HIC	severe	0.025	4	Treated	0.37995440331975	8	bridged
UK	HIC	severe	0.025	4	Controlled	0.5789013532268844	8	bridged
UK	HIC	severe	0.025	4	Remission	0.006398081836046111	8	bridged
UK	HIC	severe	0.025	4	Death	0.017202088592539223	8	bridged
UK	HIC	severe	0.025	5	Untreated	0.015982800517708565	10	bridged
UK	HIC	severe	0.025	5	Treated	0.3003081086736753	10	bridged
UK	HIC	severe	0.025	5	Controlled	0.6541500404968628	10	bridged
UK	HIC	severe	0.025	5	Remission	0.007641989656181278	10	bridged
UK	HIC	severe	0.025	5	Death	0.02191706065557206	10	bridged
UK	HIC	severe	0.1	0	Untreated	0.1	0	status_quo
UK	HIC	severe	0.1	0	Treated	0.9	0	status_quo
UK	HIC	severe	0.1	0	Controlled	0	0	status_quo
UK	HIC	severe	0.1	0	Remission	0	0	status_quo
UK	HIC	severe	0.1	0	Death	0	0	status_quo
UK	HIC	severe	0.1	1	Untreated	0.09173971745554423	2	status_quo
UK	HIC	severe	0.1	1	Treated	0.7107784438311612	2	status_quo
UK	HIC	severe	0.1	1	Controlled	0.18562384263346696	2	status_quo
UK	HIC	severe	0.1	1	Remission	0.007328453511077637	2	status_quo
UK	HIC	severe	0.1	1	Death	0.004529542568750044	2	status_quo
UK	HIC	severe	0.1	2	Untreated	0.08403963228562147	4	status_quo
UK	HIC	severe	0.1	2	Treated	0.5615310790372173	4	status_quo
UK	HIC	severe	0.1	2	Controlled	0.33119382033717043	4	status_quo
UK	HIC	severe	0.1	2	Remission	0.014008802709446258	4	status_quo
UK	HIC	severe	0.1	2	Death	0.009226665630544563	4	status_quo
UK	HIC	severe	0.1	3	Untreated	0.07687443720987923	6	status_quo
UK	HIC	severe	0.1	3	Treated	0.44376971052331154	6	status_quo
UK	HIC	severe	0.1	3	Controlled	0.4452344251761438	6	status_quo
UK	HIC	severe	0.1	3	Remission	0.020084654989559393	6	status_quo
UK	HIC	severe	0.1	3	Death	0.014036772101106057	6	status_quo
UK	HIC	severe	0.1	4	Untreated	0.07017629209912081	8	status_quo
UK	HIC	severe	0.1	4	Treated	0.3507271415259231	8	status_quo
UK	HIC	severe	0.1	4	Controlled	0.5343704799017395	8	status_quo
UK	HIC	severe	0.1	4	Remission	0.025592327344184443	8	status_quo
UK	HIC	severe	0.1	4	Death	0.01913375912903217	8	status_quo
UK	HIC	severe	0.1	5	Untreated	0.06393120207083426	10	status_quo
UK	HIC	severe	0.1	5	Treated	0.27720748492954644	10	status_quo
UK	HIC	severe	0.1	5	Controlled	0.6038308066124888	10	status_quo
UK	HIC	severe	0.1	5	Remission	0.03056795862472511	10	status_quo
UK	HIC	severe	0.1	5	Death	0.02446254776240547	10	status_quo
