scenario_id	group	label	country	daly_averted	da_lo	da_hi	incr_cost	ic_lo	ic_hi	icer	icer_lo	icer_hi	p_da_pos	inb_oc	inb_lo	inb_hi	p_ce_oc	p_ce_1x	p_ce_3x	severity
SMR-U-NGUGI	Untreated mortality	Untreated SMR 6.5 (5.0-8.3), Ngugi 2014	Nigeria	2.2523820729824444	1.5527667626695216	2.993847755998519	2786.141635982236	2167.073070430047	3380.8461636790607	1236.9755866033088	857.0732610822207	1800.9862494836445	1	-533.7595629997916	-1398.1035044050204	381.9876405433463	0.137	0.992	1	mixed
SMR-U-NGUGI	Untreated mortality	Untreated SMR 6.5 (5.0-8.3), Ngugi 2014	Ecuador	1.9212657971044556	1.2198366606582185	2.5688243692802573	1609.4510470091157	1249.1193930369882	1946.410982424967	837.7034814416221	547.0326007163527	1357.6398875246684	1	4634.662793580364	2364.84671216497	6841.031337564148	1	1	1	severe
SMR-U-NGUGI	Untreated mortality	Untreated SMR 6.5 (5.0-8.3), Ngugi 2014	Ecuador	0.8025850668099156	0.5273441302276362	1.1029578981419244	1609.4510470091157	1249.1193930369882	1946.410982424967	2005.3339061070499	1330.5547488588522	3148.4457333109485	1	998.9504201231101	60.13986529492919	1991.808634946621	0.984	1	1	less_severe
SMR-U-NGUGI	Untreated mortality	Untreated SMR 6.5 (5.0-8.3), Ngugi 2014	Ecuador	0.9558443268602677	0.6578143844440731	1.2509956586956383	1609.4510470091157	1249.1193930369882	1946.410982424967	1683.8003865083326	1130.8138080770564	2478.749889806512	1	1497.043015286754	554.8499329970347	2544.401533898582	1	1	1	mixed
SMR-U-NGUGI	Untreated mortality	Untreated SMR 6.5 (5.0-8.3), Ngugi 2014	UK	0.22640653918966488	0.14733593126835456	0.3042171490261918	1300.9999180108875	1008.0703984357931	1585.4276319574608	5746.300096575463	3764.2573332775655	9271.6800779556	1	4245.960292135902	2279.933474303051	6185.655679229612	1	1	1	severe
SMR-U-NGUGI	Untreated mortality	Untreated SMR 6.5 (5.0-8.3), Ngugi 2014	UK	0.08326845590850059	0.05969280335024197	0.11143189613849291	1300.9999180108875	1008.0703984357931	1585.4276319574608	15624.162881565731	10675.971104506745	23409.40438317721	1	739.077251747377	73.95278354386369	1489.8680495755104	0.986	1	1	less_severe
SMR-U-NGUGI	Untreated mortality	Untreated SMR 6.5 (5.0-8.3), Ngugi 2014	UK	0.10287837331802009	0.07888745895328489	0.12971733233459334	1300.9999180108875	1008.0703984357931	1585.4276319574608	12646.000087785267	8833.891905042512	17799.633254364904	1	1219.520228280605	545.6403093404559	1998.142043090271	1	1	1	mixed
SMR-U-LEVIRA	Untreated mortality	Untreated SMR 2.6, Levira 2017 weighted median	Nigeria	1.2971377721858788	0.5575782164028084	1.9729808774669366	2745.773006846811	2125.472406850291	3347.1255408153215	2116.793655788588	1292.7211279987978	5089.640598839612	1	-1448.6352346609322	-2387.7438652185037	-526.9985278683732	0.001	0.422	0.986	severe
SMR-U-LEVIRA	Untreated mortality	Untreated SMR 2.6, Levira 2017 weighted median	Nigeria	0.21928521608843674	-0.16458559144600168	0.5787422001372903	2745.773006846811	2125.472406850291	3347.1255408153215	12521.46886974566	-129959.97088415913	132572.48441544108	0.869	-2526.487790758374	-3188.099199491882	-1808.0140632360442	0	0	0.111	less_severe
SMR-U-LEVIRA	Untreated mortality	Untreated SMR 2.6, Levira 2017 weighted median	Nigeria	0.3669510162737864	-0.02510670619576606	0.7287200717442954	2745.773006846811	2125.472406850291	3347.1255408153215	7482.669035035886	-35972.002606604976	48690.07204399567	0.962	-2378.8219905730243	-3068.0049798236646	-1654.998687621251	0	0	0.33	mixed
SMR-U-LEVIRA	Untreated mortality	Untreated SMR 2.6, Levira 2017 weighted median	Ecuador	1.3101634986656272	0.6163925849810691	1.924499207522376	1603.6415649030607	1241.5785541920022	1942.0843745473696	1224.001101035355	761.3400558586678	2613.796677235541	1	2654.3898057602273	392.7949165668689	4699.992430762587	0.994	1	1	severe
