country	setting	severity	gap	quantity	n_draws	estimate	mc_se	mc_lo	mc_hi
Ecuador	LMIC	mixed	0.2	incr_cost	1000	1608.7305448975308	5.85034743747061	1597.2638639200884	1620.1972258749731
Ecuador	LMIC	mixed	0.2	p_benefit	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	mixed	0.2	p_ce_1x	1000	0.991	0.0029864694875387575	0.982983992177176	0.9952579934109885
Ecuador	LMIC	mixed	0.2	p_ce_3x	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	mixed	0.2	p_ce_oc	1000	0.895	0.009694070352540258	0.8744642376371892	0.9125125124795623
Ecuador	LMIC	mixed	0.30000000000000004	daly_averted	1000	0.7301535610143223	0.00743210878113087	0.7155866278033057	0.7447204942253388
Ecuador	LMIC	mixed	0.30000000000000004	incr_cost	1000	1340.6087874146087	4.875289531225506	1331.0532199334068	1350.1643548958107
Ecuador	LMIC	mixed	0.30000000000000004	p_benefit	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	mixed	0.30000000000000004	p_ce_1x	1000	0.991	0.0029864694875387575	0.982983992177176	0.9952579934109885
Ecuador	LMIC	mixed	0.30000000000000004	p_ce_3x	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	mixed	0.30000000000000004	p_ce_oc	1000	0.895	0.009694070352540258	0.8744642376371892	0.9125125124795623
Ecuador	LMIC	mixed	0.4	daly_averted	1000	0.5841228488114578	0.005945687024904697	0.5724693022426446	0.595776395380271
Ecuador	LMIC	mixed	0.4	incr_cost	1000	1072.4870299316872	3.900231624980411	1064.8425759467257	1080.1314839166487
Ecuador	LMIC	mixed	0.4	p_benefit	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	mixed	0.4	p_ce_1x	1000	0.991	0.0029864694875387575	0.982983992177176	0.9952579934109885
Ecuador	LMIC	mixed	0.4	p_ce_3x	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	mixed	0.4	p_ce_oc	1000	0.895	0.009694070352540258	0.8744642376371892	0.9125125124795623
Ecuador	LMIC	mixed	0.5	daly_averted	1000	0.4380921366085934	0.004459265268678524	0.4293519766819835	0.44683229653520334
Ecuador	LMIC	mixed	0.5	incr_cost	1000	804.3652724487654	2.9251737187353055	798.6319319600442	810.0986129374866
Ecuador	LMIC	mixed	0.5	p_benefit	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	mixed	0.5	p_ce_1x	1000	0.991	0.0029864694875387575	0.982983992177176	0.9952579934109885
Ecuador	LMIC	mixed	0.5	p_ce_3x	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	mixed	0.5	p_ce_oc	1000	0.895	0.009694070352540258	0.8744642376371892	0.9125125124795623
Ecuador	LMIC	mixed	0.6000000000000001	daly_averted	1000	0.2920614244057288	0.0029728435124523464	0.2862346511213222	0.2978881976901354
Ecuador	LMIC	mixed	0.6000000000000001	incr_cost	1000	536.2435149658434	1.950115812490205	532.4212879733626	540.0657419583241
Ecuador	LMIC	mixed	0.6000000000000001	p_benefit	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	mixed	0.6000000000000001	p_ce_1x	1000	0.991	0.0029864694875387575	0.982983992177176	0.9952579934109885
Ecuador	LMIC	mixed	0.6000000000000001	p_ce_3x	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	mixed	0.6000000000000001	p_ce_oc	1000	0.895	0.009694070352540258	0.8744642376371892	0.9125125124795623
Ecuador	LMIC	mixed	0.7	daly_averted	1000	0.14603071220286457	0.0014864217562261758	0.14311732556066126	0.14894409884506787
Ecuador	LMIC	mixed	0.7	incr_cost	1000	268.12175748292196	0.9750579062451036	266.2106439866816	270.03287097916234
Ecuador	LMIC	mixed	0.7	p_benefit	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	mixed	0.7	p_ce_1x	1000	0.991	0.0029864694875387575	0.982983992177176	0.9952579934109885
Ecuador	LMIC	mixed	0.7	p_ce_3x	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	mixed	0.7	p_ce_oc	1000	0.895	0.009694070352540258	0.8744642376371892	0.9125125124795623
Ecuador	LMIC	mixed	0.8	daly_averted	1000	0	0	0	0
Ecuador	LMIC	mixed	0.8	incr_cost	1000	0	0	0	0
Ecuador	LMIC	mixed	0.8	p_benefit	1000	0	0	0	0.0038268985863905225
Ecuador	LMIC	mixed	0.8	p_ce_1x	1000	0	0	0	0.0038268985863905225
Ecuador	LMIC	mixed	0.8	p_ce_3x	1000	0	0	0	0.0038268985863905225
Ecuador	LMIC	mixed	0.8	p_ce_oc	1000	0	0	0	0.0038268985863905225
Ecuador	LMIC	severe	0.2	daly_averted	1000	1.845241202276407	0.013149493186847262	1.8194681956301864	1.8710142089226278
Ecuador	LMIC	severe	0.2	incr_cost	1000	1608.7305448975308	5.85034743747061	1597.2638639200884	1620.1972258749731
Ecuador	LMIC	severe	0.2	p_benefit	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	severe	0.2	p_ce_1x	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	severe	0.2	p_ce_3x	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	severe	0.2	p_ce_oc	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	severe	0.30000000000000004	daly_averted	1000	1.5377010018970059	0.010957910989039386	1.5162234963584886	1.559178507435523
Ecuador	LMIC	severe	0.30000000000000004	incr_cost	1000	1340.6087874146087	4.875289531225506	1331.0532199334068	1350.1643548958107
Ecuador	LMIC	severe	0.30000000000000004	p_benefit	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	severe	0.30000000000000004	p_ce_1x	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	severe	0.30000000000000004	p_ce_3x	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	severe	0.30000000000000004	p_ce_oc	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	severe	0.4	daly_averted	1000	1.2301608015176049	0.008766328791231508	1.2129787970867911	1.2473428059484186
Ecuador	LMIC	severe	0.4	incr_cost	1000	1072.4870299316872	3.900231624980411	1064.8425759467257	1080.1314839166487
Ecuador	LMIC	severe	0.4	p_benefit	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	severe	0.4	p_ce_1x	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	severe	0.4	p_ce_3x	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	severe	0.4	p_ce_oc	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	severe	0.5	daly_averted	1000	0.9226206011382038	0.00657474659342363	0.9097340978150934	0.9355071044613141
Ecuador	LMIC	severe	0.5	incr_cost	1000	804.3652724487654	2.925173718735305	798.6319319600442	810.0986129374866
Ecuador	LMIC	severe	0.5	p_benefit	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	severe	0.5	p_ce_1x	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	severe	0.5	p_ce_3x	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	severe	0.5	p_ce_oc	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	severe	0.6000000000000001	daly_averted	1000	0.6150804007588023	0.004383164395615752	0.6064893985433955	0.6236714029742092
Ecuador	LMIC	severe	0.6000000000000001	incr_cost	1000	536.2435149658434	1.950115812490205	532.4212879733626	540.0657419583241
Ecuador	LMIC	severe	0.6000000000000001	p_benefit	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	severe	0.6000000000000001	p_ce_1x	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	severe	0.6000000000000001	p_ce_3x	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	severe	0.6000000000000001	p_ce_oc	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	severe	0.7	daly_averted	1000	0.3075402003794015	0.002191582197807879	0.30324469927169806	0.31183570148710493
Ecuador	LMIC	severe	0.7	incr_cost	1000	268.12175748292196	0.9750579062451036	266.2106439866816	270.03287097916234
Ecuador	LMIC	severe	0.7	p_benefit	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	severe	0.7	p_ce_1x	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	severe	0.7	p_ce_3x	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	severe	0.7	p_ce_oc	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	severe	0.8	daly_averted	1000	0	0	0	0
Ecuador	LMIC	severe	0.8	incr_cost	1000	0	0	0	0
Ecuador	LMIC	severe	0.8	p_benefit	1000	0	0	0	0.0038268985863905225
Ecuador	LMIC	severe	0.8	p_ce_1x	1000	0	0	0	0.0038268985863905225
Ecuador	LMIC	severe	0.8	p_ce_3x	1000	0	0	0	0.0038268985863905225
Ecuador	LMIC	severe	0.8	p_ce_oc	1000	0	0	0	0.0038268985863905225
Nigeria	LMIC	less_severe	0.2	daly_averted	1000	1.8802118047136043	0.023743078631045002	1.8336753705967561	1.9267482388304524
Nigeria	LMIC	less_severe	0.2	incr_cost	1000	2781.033723755944	10.090106485891964	2761.2571150435956	2800.810332468292
Nigeria	LMIC	less_severe	0.2	p_benefit	1000	0.997	0.0017294507798720387	0.9912168282105721	0.9989792345945557
Nigeria	LMIC	less_severe	0.2	p_ce_1x	1000	0.735	0.013956181426163821	0.7067841462790525	0.7614172113853439
Nigeria	LMIC	less_severe	0.2	p_ce_3x	1000	0.96	0.00619677335393187	0.9459900625744302	0.9704891907260906
Nigeria	LMIC	less_severe	0.2	p_ce_oc	1000	0.135	0.010806248192596726	0.11521104013883013	0.15758259582923498
Nigeria	LMIC	less_severe	0.30000000000000004	daly_averted	1000	1.5668431705946704	0.019785898859204152	1.5280628088306303	1.6056235323587105
Nigeria	LMIC	less_severe	0.30000000000000004	incr_cost	1000	2317.528103129953	8.408422071576638	2301.0475958696625	2334.008610390243
Nigeria	LMIC	less_severe	0.30000000000000004	p_benefit	1000	0.997	0.0017294507798720387	0.9912168282105721	0.9989792345945557
Nigeria	LMIC	less_severe	0.30000000000000004	p_ce_1x	1000	0.735	0.013956181426163821	0.7067841462790525	0.7614172113853439
Nigeria	LMIC	less_severe	0.30000000000000004	p_ce_3x	1000	0.96	0.00619677335393187	0.9459900625744302	0.9704891907260906
Nigeria	LMIC	less_severe	0.30000000000000004	p_ce_oc	1000	0.135	0.010806248192596726	0.11521104013883013	0.15758259582923498
